num_nodes,timestamp,last_round,last_received_message
2,2016-12-08_18:36:17.570612,10,I_AM_THE_LEADER
2,2016-12-08_18:38:41.742420,2,Mens et manus.
2,2016-12-08_18:49:44.246422,10,I_AM_THE_LEADER
2,2016-12-08_18:50:59.225759,1,Mens et manus.
2,2016-12-08_18:53:40.862889,1,Mens et manus.
2,2016-12-08_18:57:33.370821,4,Mens et manus.
2,2016-12-08_19:02:23.958726,1,Mens et manus.
2,2016-12-08_19:05:56.388657,1,Mens et manus.
2,2016-12-08_19:09:20.561814,2,Mens et manus.
2,2016-12-08_19:15:50.448091,8,Mens et manus.
4,2016-12-08_19:28:30.515249,2,Mens et manus.
4,2016-12-08_19:32:10.130401,5,Mens et manus.
4,2016-12-08_19:35:31.075952,6,Mens et manus.
4,2016-12-08_19:41:07.382164,10,I_AM_THE_LEADER
4,2016-12-08_19:41:53.094340,2,Mens et manus.
4,2016-12-08_19:44:21.368779,1,Mens et manus.
4,2016-12-08_19:48:00.376986,5,Mens et manus.
4,2016-12-08_19:52:23.766387,10,I_AM_THE_LEADER
4,2016-12-08_19:55:07.046279,6,Mens et manus.
4,2016-12-08_19:58:11.782990,6,Mens et manus.
2,2016-12-08_20:01:08.712977,5,Mens et manus.
2,2016-12-08_20:05:06.715825,10,I_AM_THE_LEADER
================
alg,timestamp,last_round,node_id,last_received_message
sync,2016-12-08_18:10:21.014866,2,134,I_AM_THE_LEADER
sync,2016-12-08_18:14:37.582246,10,197,I_AM_THE_LEADER
4,2016-12-08_19:28:30.239411,2,Mens et manus.
4,2016-12-08_19:31:09.919895,1,Mens et manus.
4,2016-12-08_19:35:31.208867,6,Mens et manus.
4,2016-12-08_19:40:38.500012,8,Mens et manus.
4,2016-12-08_19:41:53.060351,2,Mens et manus.
4,2016-12-08_19:45:05.558632,4,Mens et manus.
4,2016-12-08_19:47:01.637734,1,Mens et manus.
4,2016-12-08_19:52:08.446357,9,Mens et manus.
4,2016-12-08_19:56:01.616021,10,I_AM_THE_LEADER
4,2016-12-08_19:57:42.008849,4,Mens et manus.
